"","country","countryiso3code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1","Afghanistan","AFG","","","","","","","","38.2","","","","38.3","","","","","",""
"2","Albania","ALB","","","29.6","","","24.2","","","14.6","","","","15.3","","","","",""
"3","Algeria","DZA","","","","","","","","","","","","4.8","","","","","",""
"4","American Samoa","ASM","","","","","","","","","","","","","","","","","",""
"5","Andorra","AND","","","","","","","","","","","","","","","","","",""
"6","Angola","AGO","","","","","","","","","58.3","","","","","","","","",""
"7","Antigua and Barbuda","ATG","","","","","","","","","","","","","","","","","",""
"8","Argentina","ARG","","","","","","","","","","","","","","","","","",""
"9","Armenia","ARM","","","","","","","","","27.5","34.9","36","34.5","32.1","31.7","29.9","","",""
"10","Aruba","ABW","","","","","","","","","","","","","","","","","",""
"11","Australia","AUS","","","","","","","","","","","","","","","","","",""
"12","Austria","AUT","","","","","","","","","","","","","","","","","",""
"13","Azerbaijan","AZE","","42.5","","","","","","","","","","","","","","","",""
"14","Bahamas, The","BHS","","","","","","","","","","","","","","","","","",""
"15","Bahrain","BHR","","","","","","","","","","","","","","","","","",""
"16","Bangladesh","BGD","52.3","","","","","43.8","","","","","35.2","","","","","","",""
"17","Barbados","BRB","","","","","","","","","","","","","","","","","",""
"18","Belarus","BLR","50.8","","","","","16.7","15.5","12.4","9.7","9.5","8.9","11.5","9.4","9","7.9","8.7","",""
"19","Belgium","BEL","","","","","","","","","","","","","","","","","",""
"20","Belize","BLZ","","","","","","","","","","","","","","","","","",""
"21","Benin","BEN","","","","","","","38.8","36.1","","38.4","","39.7","","","","","",""
"22","Bermuda","BMU","","","","","","","","","","","","","","","","","",""
"23","Bhutan","BTN","","","","","","","","30.9","","","","","16.7","","","","",""
"24","Bolivia","BOL","87","77.7","78.8","","77.7","77.6","76.5","77.3","73.6","66.4","","61.3","61.2","59.9","57.6","","",""
"25","Bosnia and Herzegovina","BIH","","","","","","","","","","","","","","","","","",""
"26","Botswana","BWA","","","44.8","","","","","","","24.3","","","","","","","",""
"27","Brazil","BRA","","","","","","","","","","","","","","","","","",""
"28","British Virgin Islands","VGB","","","","","","","","","","","","","","","","","",""
"29","Brunei Darussalam","BRN","","","","","","","","","","","","","","","","","",""
"30","Bulgaria","BGR","","","","","","","","","","","","","","","","","",""
"31","Burkina Faso","BFA","","","","65.8","","","","","","52.8","","","","","47.5","","",""
"32","Burundi","BDI","","","","","","","","","","","","","","","68.8","","",""
"33","Cabo Verde","CPV","","","","","","","","44.3","","","","","","","","","",""
"34","Cambodia","KHM","","","","54.2","","","51.4","","38.5","27.5","25.3","23.6","20.8","","","","",""
"35","Cameroon","CMR","","52.1","","","","","","55","","","","","","","56.8","","",""
"36","Canada","CAN","","","","","","","","","","","","","","","","","",""
"37","Cayman Islands","CYM","","","","","","","","","","","","","","","","","",""
"38","Central African Republic","CAF","","","","","","","","","69.4","","","","","","","","",""
"39","Chad","TCD","","","58.4","","","","","","","","","52.5","","","","","",""
"40","Channel Islands","CHI","","","","","","","","","","","","","","","","","",""
"41","Chile","CHL","23.7","","","19.9","","","51.8","","","43.6","","37.7","","27.9","","","",""
"42","China","CHN","","","","","","","","","","","","","","8.5","7.2","","",""
"43","Colombia","COL","","","61.7","56.8","58.3","56.4","","","56.6","53.7","49.7","46.1","46.8","42.8","41.4","40.3","",""
"44","Comoros","COM","","","","","48.7","","","","","","","","","","","","",""
"45","Congo, Dem. Rep.","COD","","","","","","","","","","","","","","","","","",""
"46","Congo, Rep.","COG","","","","","65.2","","","","","","","74.8","","","","","",""
"47","Costa Rica","CRI","","","","","","","","","","","27.4","27.1","27.1","27.8","30.3","27.9","",""
"48","Cote d'Ivoire","CIV","","","49","","","","","","62.5","","","","","","","56.8","",""
"49","Croatia","HRV","","","","","","","","","","","","","","","","","",""
"50","Cuba","CUB","","","","","","","","","","","","","","","","","",""
"51","Curacao","CUW","","","","","","","","","","","","","","","","","",""
"52","Cyprus","CYP","","","","","","","","","","","","","","","","","",""
"53","Czech Republic","CZE","","","","","","","","","","","","","","","","","",""
"54","Denmark","DNK","","","","","","","","","","","","","","","","","",""
"55","Djibouti","DJI","","","","","","","","","","","","","","","","","",""
"56","Dominica","DMA","","","","","","","","","","","","","","","","","",""
"57","Dominican Republic","DOM","47.4","47.5","47.2","55.4","60","57","54","51.8","55.2","50.8","50.4","48.4","49.4","51.2","","","",""
"58","Ecuador","ECU","82.2","72.4","","71.3","68.8","64.3","60.6","61.3","59.7","57.5","53","50.9","49.1","42","35.3","","",""
"59","Egypt, Arab Rep.","EGY","22.1","","","","26.8","","","","28.9","","32.3","","","","","","",""
"60","El Salvador","SLV","","","","","","42.4","35.8","43.8","49","46.5","43.2","50.2","43.3","36","37.9","","",""
"61","Equatorial Guinea","GNQ","","","","","","","79.9","","","","","","","","","","",""
"62","Eritrea","ERI","","","","","","","","","","","","","","","","","",""
"63","Estonia","EST","","","","","","","","","","","","","","","","","",""
"64","Eswatini","SWZ","79.7","","","","","","","","","73.1","","","","","","","",""
"65","Ethiopia","ETH","","","","","39.3","","","","","","30.4","","","","","","",""
"66","Faroe Islands","FRO","","","","","","","","","","","","","","","","","",""
"67","Fiji","FJI","","","44.6","","","","","","44","","","","","","","","",""
"68","Finland","FIN","","","","","","","","","","","","","","","","","",""
"69","France","FRA","","","","","","","","","","","","","","","","","",""
"70","French Polynesia","PYF","","","","","","","","","","","","","","","","","",""
"71","Gabon","GAB","","","","","","44.6","","","","","","","","","","","",""
"72","Gambia, The","GMB","","","","","","","","","","","73.9","","","","","","",""
"73","Georgia","GEO","","","","","","","","","","","","","","","","","",""
"74","Germany","DEU","","","","","","","","","","","","","","","","","",""
"75","Ghana","GHA","","","","","","43.7","","","","","","","37.9","","","","",""
"76","Gibraltar","GIB","","","","","","","","","","","","","","","","","",""
"77","Greece","GRC","","","","","","","","","","","","","","","","","",""
"78","Greenland","GRL","","","","","","","","","","","","","","","","","",""
"79","Grenada","GRD","","","","","","","","","","","","","","","","","",""
"80","Guam","GUM","","","","","","","","","","","","","","","","","",""
"81","Guatemala","GTM","74.5","","","","","","70.5","","","","","","","","76.1","","",""
"82","Guinea","GIN","","","59.9","","","","","63","","","","","64.7","","","","",""
"83","Guinea-Bissau","GNB","","","69.7","","","","","","","","75.6","","","","","","",""
"84","Guyana","GUY","","","","","","","","","","","","","","","","","",""
"85","Haiti","HTI","","","","","","","","","","","","","74.9","","","","",""
"86","Honduras","HND","","71.3","71.3","72.7","71.9","69.5","66.8","65.2","63.1","64.4","65.4","65.2","69.3","68.5","65","","",""
"87","Hong Kong SAR, China","HKG","","","","","","","","","","","","","","","","","",""
"88","Hungary","HUN","","","","","","","","","","","","","","","","","",""
"89","Iceland","ISL","","","","","","","","","","","","","","","","","",""
"90","India","IND","","","","","41.8","","","","","33.8","","25.7","","","","","",""
"91","Indonesia","IDN","","","21.1","20.2","20.1","20","21.8","20.4","18.9","17.4","16.6","15.7","15.1","14.3","14.2","","",""
"92","Iran, Islamic Rep.","IRN","","","","","","","","","","","","","","","","","",""
"93","Iraq","IRQ","","","","","","","39","","","","","","30.6","","","","",""
"94","Ireland","IRL","","","","","","","","","","","","","","","","","",""
"95","Isle of Man","IMN","","","","","","","","","","","","","","","","","",""
"96","Israel","ISR","","","","","","","","","","","","","","","","","",""
"97","Italy","ITA","","","","","","","","","","","","","","","","","",""
"98","Jamaica","JAM","25.1","24.1","25.1","","","","","","","","","","","","","","",""
"99","Japan","JPN","","","","","","","","","","","","","","","","","",""
"100","Jordan","JOR","","","","","","","","","","","16.8","","","","","","",""
"101","Kazakhstan","KAZ","","59.4","58.4","53.2","47.1","45.6","24.4","18.1","15.9","12.1","10.1","8.8","6.1","4.9","4.7","4.4","",""
"102","Kenya","KEN","","","","","","49.1","","","","","","","","","","","",""
"103","Kiribati","KIR","","","","","","","","","","","","","","","","","",""
"104","Korea, Dem. People’s Rep.","PRK","","","","","","","","","","","","","","","","","",""
"105","Korea, Rep.","KOR","","","","","","","","","","","","","","","","","",""
"106","Kosovo","XKX","","","","","","","","","","","","","","","","","",""
"107","Kuwait","KWT","","","","","","","","","","","","","","","","","",""
"108","Kyrgyz Republic","KGZ","","","","","","","47.7","41.7","36.8","37.1","39.5","40.4","39.6","41.4","32.6","33.6","",""
"109","Lao PDR","LAO","","","37.6","","","","","31.7","","","","","28.6","","","","",""
"110","Latvia","LVA","","","","","","","","","","","","","","","","","",""
"111","Lebanon","LBN","","","","","","","","","","","","","","","","","",""
"112","Lesotho","LSO","","","60.5","","","","","","","","61.2","","","","","","",""
"113","Liberia","LBR","","","","","","","","67.7","","","","","","","","","",""
"114","Libya","LBY","","","","","","","","","","","","","","","","","",""
"115","Liechtenstein","LIE","","","","","","","","","","","","","","","","","",""
"116","Lithuania","LTU","","","","","","","","","","","","","","","","","",""
"117","Luxembourg","LUX","","","","","","","","","","","","","","","","","",""
"118","Macao SAR, China","MAC","","","","","","","","","","","","","","","","","",""
"119","Macedonia, FYR","MKD","","","","","","","","","","","","","","","","","",""
"120","Madagascar","MDG","","78.2","","","","","","","","","","","","","","","",""
"121","Malawi","MWI","","","","","55.9","","","","","","56.6","","","","","","",""
"122","Malaysia","MYS","","","13.5","","11.9","","","7.1","","8.4","","","3.4","","1.6","","",""
"123","Maldives","MDV","","","25.1","","","","","","","14.3","","","","","","","",""
"124","Mali","MLI","","","","","","","","","","","","","","","","","",""
"125","Malta","MLT","","","","","","","","","","","","","","","","","",""
